,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
4800,场内卖出,易方达沪深300医药ETF,,1.8364,1.8364,512010,2.68%,场内买入,2018-03-26
4801,场内卖出,易方达沪深300医药ETF,,1.7884,1.7884,512010,-1.34%,场内买入,2018-03-23
4802,场内卖出,易方达沪深300医药ETF,,1.8127,1.8127,512010,-1.02%,场内买入,2018-03-22
4803,场内卖出,易方达沪深300医药ETF,,1.8313,1.8313,512010,-0.69%,场内买入,2018-03-21
4804,场内卖出,易方达沪深300医药ETF,,1.8440,1.844,512010,2.19%,场内买入,2018-03-20
4805,场内卖出,易方达沪深300医药ETF,,1.8045,1.8045,512010,3.06%,场内买入,2018-03-19
4806,场内卖出,嘉实快线货币H,,1.2291,1.2291,511960,4.1120%,场内买入,2018-03-27
4807,场内卖出,嘉实快线货币H,,1.0326,1.0326,511960,4.1550%,场内买入,2018-03-26
4808,场内卖出,嘉实快线货币H,,0.9536,0.9536,511960,4.1780%,场内买入,2018-03-25
4809,场内卖出,嘉实快线货币H,,0.9552,0.9552,511960,4.2050%,场内买入,2018-03-24
4810,场内卖出,嘉实快线货币H,,0.9729,0.9729,511960,4.2310%,场内买入,2018-03-23
4811,场内卖出,易方达沪深300医药ETF,,1.7509,1.7509,512010,-0.34%,场内买入,2018-03-16
4812,场内卖出,易方达沪深300医药ETF,,1.7568,1.7568,512010,1.24%,场内买入,2018-03-15
4813,场内卖出,易方达沪深300医药ETF,,1.7352,1.7352,512010,-0.17%,场内买入,2018-03-14
4814,场内卖出,嘉实快线货币H,,1.2311,1.2311,511960,4.2670%,场内买入,2018-03-22
4815,场内卖出,嘉实快线货币H,,1.3539,1.3539,511960,4.1730%,场内买入,2018-03-21
4816,场内卖出,嘉实快线货币H,,1.3077,1.3077,511960,3.9890%,场内买入,2018-03-20
4817,场内卖出,嘉实快线货币H,,1.0762,1.0762,511960,3.9180%,场内买入,2018-03-19
4818,场内卖出,广发添利货币ETFA,,0.3603,0.3603,511950,1.3280%,场内买入,2018-03-27
4819,场内卖出,广发添利货币ETFA,,0.3641,0.3641,511950,1.3290%,场内买入,2018-03-26
4820,场内卖出,广发添利货币ETFA,,0.7280,0.728,511950,1.3250%,场内买入,2018-03-25
4821,场内卖出,广发添利货币ETFA,,0.3604,0.3604,511950,1.3230%,场内买入,2018-03-23
4822,场内卖出,广发添利货币ETFA,,0.3604,0.3604,511950,1.3220%,场内买入,2018-03-22
4823,场内卖出,广发添利货币ETFA,,0.3572,0.3572,511950,1.3230%,场内买入,2018-03-21
4824,场内卖出,广发添利货币ETFA,,0.3623,0.3623,511950,1.3220%,场内买入,2018-03-20
4825,场内卖出,银华日利A,,117.9940,101.113,511880,0.01%,场内买入,2018-03-27
4826,场内卖出,银华日利A,,117.9810,101.1,511880,0.01%,场内买入,2018-03-26
4827,场内卖出,银华日利A,,117.9690,101.088,511880,0.03%,场内买入,2018-03-23
4828,场内卖出,银华日利A,,117.9370,101.056,511880,0.01%,场内买入,2018-03-22
4829,场内卖出,银华日利A,,117.9260,101.045,511880,0.01%,场内买入,2018-03-21
4830,场内卖出,银华日利A,,117.9130,101.032,511880,0.01%,场内买入,2018-03-20
4831,场内卖出,银华日利A,,117.9020,101.021,511880,0.01%,场内买入,2018-03-19
4832,场内卖出,招商财富宝交易型货币E,,1.2437,1.2437,511850,4.6160%,场内买入,2018-03-27
4833,场内卖出,招商财富宝交易型货币E,,1.2464,1.2464,511850,4.6120%,场内买入,2018-03-26
4834,场内卖出,招商财富宝交易型货币E,,2.4688,2.4688,511850,4.6030%,场内买入,2018-03-25
4835,场内卖出,招商财富宝交易型货币E,,1.2347,1.2347,511850,4.6000%,场内买入,2018-03-23
4836,场内卖出,招商财富宝交易型货币E,,1.2308,1.2308,511850,4.5990%,场内买入,2018-03-22
4837,场内卖出,招商财富宝交易型货币E,,1.2309,1.2309,511850,4.5920%,场内买入,2018-03-21
4838,场内卖出,中融日日盈交易型货币A,,0.9242,0.9242,511930,3.2930%,场内买入,2018-03-27
4839,场内卖出,中融日日盈交易型货币A,,0.9114,0.9114,511930,3.2370%,场内买入,2018-03-26
4840,场内卖出,中融日日盈交易型货币A,,1.7620,1.762,511930,3.1790%,场内买入,2018-03-25
