,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
5004,场内卖出,上证金融地产ETF,,1.8445,1.8445,510650,-0.77%,场内买入,2018-03-14
5005,场内卖出,万家上证50ETF,,2.3697,2.3697,510680,0.91%,场内买入,2018-03-19
5006,场内卖出,万家上证50ETF,,2.3483,2.3483,510680,-0.83%,场内买入,2018-03-16
5007,场内卖出,万家上证50ETF,,2.3680,2.368,510680,0.83%,场内买入,2018-03-15
5008,场内卖出,万家上证50ETF,,2.3486,2.3486,510680,-0.41%,场内买入,2018-03-14
5009,场内卖出,景顺长城上证180ETF,,1.4460,1.446,510420,1.26%,场内买入,2018-03-27
5010,场内卖出,景顺长城上证180ETF,,1.4280,1.428,510420,-0.21%,场内买入,2018-03-26
5011,场内卖出,景顺长城上证180ETF,,1.4310,1.431,510420,-3.05%,场内买入,2018-03-23
5012,场内卖出,景顺长城上证180ETF,,1.4760,1.476,510420,-0.61%,场内买入,2018-03-22
5013,场内卖出,景顺长城上证180ETF,,1.4850,1.485,510420,-0.27%,场内买入,2018-03-21
5014,场内卖出,景顺长城上证180ETF,,1.4890,1.489,510420,0.13%,场内买入,2018-03-20
5015,场内卖出,景顺长城上证180ETF,,1.4870,1.487,510420,-0.07%,场内买入,2018-03-19
5016,场内卖出,景顺长城上证180ETF,,1.4880,1.488,510420,-0.47%,场内买入,2018-03-16
